,prc,prc,prc,prc,prc,prc,prc,prc,prc,prc,rentPrc,rentPrc,rentPrc,rentPrc,rentPrc,rentPrc,rentPrc,rentPrc,rentPrc,rentPrc,spc1,spc1,spc1,spc1,spc1,spc1,spc1,spc1,spc1,spc1,spc2,spc2,spc2,spc2,spc2,spc2,spc2,spc2,spc2,spc2
rletTpNm,다세대,단독/다가구,빌라,상가주택,아파트,아파트분양권,연립,오피스텔,원룸,재건축,다세대,단독/다가구,빌라,상가주택,아파트,아파트분양권,연립,오피스텔,원룸,재건축,다세대,단독/다가구,빌라,상가주택,아파트,아파트분양권,연립,오피스텔,원룸,재건축,다세대,단독/다가구,빌라,상가주택,아파트,아파트분양권,연립,오피스텔,원룸,재건축
region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금호1가동,,400.0,12208.333333333334,,19086.956521739132,,,,,,,35.0,41.25,,175.8695652173913,,,,,,,21.333333333333332,39.63636363636363,,97.17391304347827,,,,,,,21.77333333333333,34.1,,74.87304347826087,,,,,
금호2가동,,3500.0,8200.0,2000.0,25921.052631578947,,,1800.0,650.0,,,48.333333333333336,40.0,55.0,226.31578947368422,,,81.0,57.5,,,55.5,41.8,39.5,102.10526315789474,,,46.0,36.0,,,36.839999999999996,39.980000000000004,37.29,76.54947368421053,,,29.444,29.915,
금호3가동,,6000.0,5000.0,6111.111111111111,24305.555555555555,,,,3500.0,,,61.666666666666664,40.0,104.44444444444444,257.77777777777777,,,,52.0,,,115.0,45.0,88.44444444444444,97.83333333333333,,,,35.0,,,53.803333333333335,34.56,78.66444444444444,73.79666666666667,,,,25.5,
금호4가동,11666.666666666666,2447.3684210526317,4375.0,500.0,16000.0,,,,833.3333333333334,,106.66666666666667,61.05263157894737,81.25,43.0,198.66666666666666,,,,55.0,,66.33333333333333,41.57142857142857,47.75,18.0,95.86666666666666,,,,27.333333333333332,,57.82666666666666,36.41105263157895,38.230000000000004,18.0,75.74066666666666,,,,27.686666666666667,
기타지역(1120012200),,4011.6279069767443,3500.0,4000.0,,29200.0,,5486.764705882353,2090.0,,,64.53488372093024,159.60714285714286,65.0,,156.0,,65.1029411764706,58.5,,,49.90243902439025,55.81481481481482,39.0,,86.71428571428571,,46.294117647058826,28.3,,,40.33651162790698,42.300357142857145,36.0,,62.68028571428571,,23.950294117647058,26.222,
마장동,,2587.5,5000.0,2125.0,,,,,1444.4444444444443,,,52.791666666666664,85.0,62.5,,,,,48.333333333333336,,,74.3913043478261,20.0,151.0,,,,,27.0,,,44.46125,16.6,28.4925,,,,,23.732222222222223,
사근동,,6500.0,7750.0,1200.0,37500.0,,,3607.4074074074074,5009.090909090909,,,75.25,60.0,75.0,116.5,,,92.51851851851852,38.27272727272727,,,60.1578947368421,29.0,43.25,106.0,,,45.2962962962963,24.545454545454547,,,52.692499999999995,31.3,31.77,84.83500000000001,,,28.18037037037037,18.29090909090909,
성수1가제1동,,5300.0,40166.666666666664,6833.333333333333,30822.222222222223,,80000.0,1000.0,2375.0,5000.0,,72.0,1026.6666666666667,83.33333333333333,260.97777777777776,,160.0,100.0,40.0,170.0,,39.6,293.0,46.666666666666664,110.2,,175.0,58.0,22.666666666666668,94.0,,38.268,164.75,47.07,86.65211111111111,,164.62,29.54,17.2875,89.19
성수1가제2동,3000.0,2852.5641025641025,4697.777777777777,4036.3636363636365,45324.07407407407,,,2560.8695652173915,2371.7391304347825,,130.0,69.33333333333333,156.38888888888889,100.0,838.5416666666666,,,157.54347826086956,81.58695652173913,,35.0,43.32,39.611111111111114,51.40909090909091,122.38888888888889,,,46.369565217391305,36.77777777777778,,29.58,34.329743589743586,28.727777777777778,43.22,90.49814814814815,,,28.67717391304348,25.557173913043474,
성수2가제1동,2000.0,4316.326530612245,14837.5,9125.0,62470.58823529412,,,1749.2207792207791,3357.1428571428573,16250.0,85.0,79.08163265306122,62.25,110.5,179.7058823529412,,,129.33766233766235,71.0,167.5,46.0,44.955555555555556,46.857142857142854,71.58333333333333,132.76470588235293,,,51.246753246753244,29.95,96.0,42.18,37.94204081632653,33.73875,68.475,105.40235294117646,,,31.086753246753243,25.151904761904763,72.245
옥수동,1000.0,4323.529411764706,,2500.0,29307.69230769231,,,,916.6666666666666,,40.0,46.470588235294116,,63.57142857142857,241.92307692307693,,,,50.833333333333336,,87.0,44.0,,82.28571428571429,108.5,,,,22.2,,72.2,38.974117647058826,,39.45428571428572,86.33961538461539,,,,24.334999999999997,
왕십리도선동,,,,,33714.28571428572,,,8666.666666666666,,,,,,,301.07142857142856,,,70.33333333333333,,,,,,,138.28571428571428,,,51.666666666666664,,,,,,,110.08571428571429,,,30.81,,
왕십리제2동,,5609.090909090909,4875.0,4200.0,32661.53846153846,,,21687.5,3250.0,,,54.81818181818182,75.0,61.0,219.95384615384614,,,45.75,57.5,,,45.78431372549019,44.1,48.5,104.81538461538462,,,70.0,18.0,,,40.466545454545454,30.44375,40.325,81.10846153846154,,,31.348750000000003,19.6,
용답동,,3668.5185185185187,7000.0,4750.0,30000.0,,,,2472.7272727272725,,,63.629629629629626,65.0,105.0,153.33333333333334,,,,44.27272727272727,,,41.255319148936174,33.666666666666664,60.5,110.33333333333333,,,,23.0,,,32.58592592592593,28.44666666666667,61.07,84.89333333333333,,,,24.25818181818182,
응봉동,3000.0,4213.559322033899,16000.0,3000.0,32398.64864864865,40372.781065088755,,7187.5,2860.7329842931936,,70.0,57.69491525423729,62.5,120.0,191.8918918918919,227.57396449704143,,113.0,55.455497382198956,,89.0,43.34090909090909,44.333333333333336,35.0,104.04054054054055,93.75739644970415,,74.875,29.761904761904763,,73.34,32.038474576271184,38.13666666666666,35.0,79.1912162162162,70.04934911242604,,34.255,18.37376963350785,
행당제1동,5000.0,4085.057471264368,7090.909090909091,3400.0,13666.666666666666,,,3000.0,2385.7954545454545,1500.0,112.5,13333.183908045978,100.0,76.0,169.13333333333333,,,45.0,53.57954545454545,110.0,50.5,53.9277108433735,47.3,79.4,93.2,,,44.5,34.6124031007752,61.0,43.08,40.554252873563215,40.901818181818186,61.212,73.05266666666667,,,24.375,19.080454545454543,40.86
행당제2동,3000.0,2892.0,11333.333333333334,,1000.0,,,,1401.923076923077,,57.5,61.0,72.5,,75.0,,,,50.55769230769231,,33.0,46.916666666666664,39.2,,26.0,,,,22.704545454545453,,32.05,34.5296,39.123333333333335,,18.36,,,,17.644423076923076,
